run_id,lr,hidden_dim,weight_decay,activation,best_val_accuracy,checkpoint
8,0.01,256,0.0001,tanh,0.4291358024691358,outputs\search_run_08\best_model.npz
6,0.01,256,0.0,tanh,0.4288888888888889,outputs\search_run_06\best_model.npz
2,0.01,128,0.0,tanh,0.4212345679012346,outputs\search_run_02\best_model.npz
4,0.01,128,0.0001,tanh,0.4212345679012346,outputs\search_run_04\best_model.npz
9,0.005,128,0.0,relu,0.4051851851851852,outputs\search_run_09\best_model.npz
15,0.005,256,0.0001,relu,0.4024691358024691,outputs\search_run_15\best_model.npz
7,0.01,256,0.0001,relu,0.4022222222222222,outputs\search_run_07\best_model.npz
13,0.005,256,0.0,relu,0.4014814814814815,outputs\search_run_13\best_model.npz
14,0.005,256,0.0,tanh,0.4014814814814815,outputs\search_run_14\best_model.npz
16,0.005,256,0.0001,tanh,0.4014814814814815,outputs\search_run_16\best_model.npz
11,0.005,128,0.0001,relu,0.39827160493827163,outputs\search_run_11\best_model.npz
3,0.01,128,0.0001,relu,0.39580246913580247,outputs\search_run_03\best_model.npz
5,0.01,256,0.0,relu,0.3950617283950617,outputs\search_run_05\best_model.npz
1,0.01,128,0.0,relu,0.3940740740740741,outputs\search_run_01\best_model.npz
10,0.005,128,0.0,tanh,0.3814814814814815,outputs\search_run_10\best_model.npz
12,0.005,128,0.0001,tanh,0.3814814814814815,outputs\search_run_12\best_model.npz
23,0.001,256,0.0001,relu,0.37037037037037035,outputs\search_run_23\best_model.npz
21,0.001,256,0.0,relu,0.36814814814814817,outputs\search_run_21\best_model.npz
19,0.001,128,0.0001,relu,0.36518518518518517,outputs\search_run_19\best_model.npz
17,0.001,128,0.0,relu,0.36419753086419754,outputs\search_run_17\best_model.npz
18,0.001,128,0.0,tanh,0.32839506172839505,outputs\search_run_18\best_model.npz
20,0.001,128,0.0001,tanh,0.32839506172839505,outputs\search_run_20\best_model.npz
22,0.001,256,0.0,tanh,0.31234567901234567,outputs\search_run_22\best_model.npz
24,0.001,256,0.0001,tanh,0.31234567901234567,outputs\search_run_24\best_model.npz
